nom_structure,nom_contact,email,telephone,type_prospect,pays,region,departement,ville,adresse,nb_aderents,facebook,facebook_followers,x,x_followers,instagram,instagram_followers,youtube,youtube_followers,tictok,tictok_followers,sit_web,accepte_contact,methode_contact,contacte,date_dernier_contact,commentaires
Médiathèque Éternel,Emmanuel Martinez,cdelaunay@example.net,0717942389,Médiathèque,France,Centre-Val de Loire,36,Châteauroux,"7, boulevard de Rodrigues",,http://munoz.net/,281.0,,,,,,,,,http://brunet.com/,False,email,False,,Soulever recommencer grandir plaine visage exprimer hors.
Artisan Début,,gaillardvictoire@example.net,0658237582,Artisan,France,Nouvelle-Aquitaine,40,Dax,"20, chemin Arnaud",321.0,http://guillet.fr/,750.0,,,http://dos.net/,2762.0,,,,,http://lucas.net/,False,facebook,False,2024-08-20,
Boutique spécialisée Sentier,,simone23@example.org,0672719453,Boutique spécialisée,France,Pays de la Loire,53,Château-Gontier,rue Victoire Lecomte,,https://www.le.fr/,8333.0,http://bigot.com/,13693.0,http://www.samson.net/,22408.0,https://www.buisson.fr/,36410.0,http://www.traore.org/,42461.0,http://henry.com/,True,instagram,True,2024-05-29,
Ludothèque Baisser,,paul29@example.org,0669372987,Ludothèque,France,Centre-Val de Loire,28,Dreux,"97, boulevard de Toussaint",,https://www.lebrun.com/,3126.0,http://www.dos.fr/,9036.0,https://www.langlois.fr/,22360.0,https://www.gerard.com/,8104.0,,,http://germain.net/,False,,True,2025-12-04,
Médiathèque Demain,Célina Thierry de Barre,ugimenez@example.org,0780334285,Médiathèque,France,Auvergne-Rhône-Alpes,69,Vénissieux,rue Noémi Marion,,,,,,http://www.barbier.net/,8141.0,https://www.sanchez.com/,49790.0,http://www.marchal.fr/,7899.0,http://dupre.fr/,False,instagram,True,2025-12-24,
Boutique spécialisée Tuer,Théophile Hubert du Pereira,clemencelejeune@example.com,0687098895,Boutique spécialisée,France,Pays de la Loire,44,Saint-Nazaire,rue Marcelle Lamy,239.0,http://colas.org/,6837.0,,,http://www.etienne.fr/,15385.0,http://www.masson.fr/,10376.0,,,http://jacques.com/,False,,False,2025-01-20,
CSCS Visite,,masseaimee@example.com,0732677530,CSCS,France,Île-de-France,93,Montreuil,,407.0,https://salmon.com/,7206.0,http://vallee.com/,787.0,,,,,,,http://costa.net/,True,telephone,False,2025-12-27,
Bar à jeux Celui,Susanne Poirier,marguerite96@example.org,0795900641,Bar à jeux,France,Île-de-France,93,Montreuil,rue Blin,,,,,,,,,,,,,True,,False,2024-11-26,
Éditeur Pareil,Michèle Toussaint,capucine02@example.com,0601605302,Éditeur,France,Provence-Alpes-Côte d'Azur,83,Toulon,"84, avenue de Guyot",,http://perrot.fr/,2314.0,,,,,,,,,,False,email,True,,
Ludothèque Peau,,diane97@example.net,0758597667,Ludothèque,France,Normandie,50,Avranches,"22, boulevard Rivière",,,,http://www.mahe.fr/,13699.0,,,http://leroux.net/,40369.0,https://www.legros.fr/,22839.0,http://www.julien.fr/,False,,True,,
Artisan Habitant,Dorothée Gilbert,luc62@example.com,0631921670,Artisan,France,Île-de-France,93,Aubervilliers,"13, rue Laure Le Gall",285.0,,,,,http://www.klein.com/,13595.0,https://www.herve.com/,7763.0,http://www.brunet.net/,42698.0,https://bernard.fr/,False,facebook,False,,
Asso JDR Peu,Théophile Ramos,odaniel@example.org,0713856245,Asso JDR,France,Grand Est,54,Nancy,"5, rue Bertin",,http://www.ruiz.fr/,3043.0,http://marques.com/,308.0,http://www.rousseau.com/,459.0,,,,,,True,email,True,,
Bar à jeux Notre,,timothee93@example.com,0747074162,Bar à jeux,France,Grand Est,08,Sedan,,,,,,,http://normand.fr/,28665.0,,,http://jacquot.fr/,9297.0,https://www.rousset.org/,True,facebook,False,,Lier saint plan habiller dehors pain choix.
Éditeur Cependant,,,0795900641,Éditeur,France,Occitanie,32,Mirande,boulevard de Maillot,,http://muller.com/,1875.0,https://www.rocher.com/,10993.0,https://www.paul.fr/,17029.0,,,,,,True,,False,2025-11-20,
Asso JDR Compagnon,Thierry Pelletier,zrodrigues@example.com,0676932577,Asso JDR,France,Nouvelle-Aquitaine,17,Rochefort,"4, avenue Madeleine Aubert",60.0,https://www.marechal.org/,9774.0,http://maurice.com/,3520.0,http://roussel.com/,20178.0,http://www.royer.com/,8903.0,https://www.guillon.fr/,56126.0,,True,facebook,False,,
Ludothèque Âgé,,alainalves@example.com,0720604530,Ludothèque,France,Île-de-France,94,Ivry-sur-Seine,,,http://daniel.fr/,5000.0,,,,,http://regnier.fr/,22121.0,,,,True,,True,,
CSCS Ne,,philippine70@example.net,0676110155,CSCS,France,Île-de-France,95,Cergy,"83, rue Lebon",,,,https://delattre.com/,11435.0,http://www.lemaitre.fr/,2607.0,https://olivier.fr/,49853.0,,,https://hubert.com/,False,instagram,False,,
Influenceur Établir,Richard-Alphonse Pottier,alainroux@example.com,0685603455,Influenceur,France,Île-de-France,75,Paris,,441.0,http://www.martel.com/,2900.0,,,http://www.etienne.org/,18108.0,,,,,http://dubois.com/,False,facebook,True,2025-04-15,Et toucher angoisse déposer animal.
Artisan Séparer,,julien38@example.net,,Artisan,France,Nouvelle-Aquitaine,33,Mérignac,"12, boulevard de Carpentier",185.0,https://antoine.com/,2314.0,https://www.torres.com/,13881.0,,,,,,,http://morin.net/,False,telephone,False,,Animer condition parce que relation droite.
Médiathèque Solitude,Hélène Jacob,penelopeboulanger@example.net,0694735521,Médiathèque,France,Provence-Alpes-Côte d'Azur,13,Arles,chemin Fabre,38.0,,,,,https://torres.fr/,15090.0,https://www.da.com/,42820.0,,,http://andre.fr/,True,facebook,True,,Air masse huit bon prononcer enfance interroger.
Influenceur Suite,,oolivier@example.org,,Influenceur,France,Nouvelle-Aquitaine,19,Tulle,chemin Aimée Mahe,,http://www.bonneau.fr/,869.0,https://www.riou.fr/,3701.0,,,,,,,,False,email,False,2025-09-11,
Boutique spécialisée Retomber,,valettelucas@example.net,0601559643,Boutique spécialisée,France,Auvergne-Rhône-Alpes,26,Valence,"646, boulevard Boyer",,http://www.ollivier.fr/,8648.0,,,http://teixeira.org/,2681.0,,,http://lemoine.fr/,8123.0,,False,email,True,,
CSCS Veiller,Philippine du Lévêque,amelie73@example.org,0740076372,CSCS,France,Nouvelle-Aquitaine,17,Saint,"68, rue Leclercq",459.0,,,https://seguin.com/,8178.0,,,,,http://moreno.org/,47694.0,http://www.perrin.com/,True,facebook,False,2026-01-14,
Asso JDR Aile,Frédéric Dupré,wpinto@example.com,0730887393,Asso JDR,France,Centre-Val de Loire,45,Montargis,"16, chemin de Riou",284.0,,,,,https://mathieu.com/,10835.0,,,https://labbe.com/,4709.0,http://www.pascal.org/,True,instagram,False,,Oh défendre vue bon oser.
Éditeur Précéder,Benoît Royer,bcarre@example.org,0795614696,Éditeur,France,Occitanie,31,Toulouse,"9, avenue Allard",,,,http://www.faivre.net/,7419.0,https://www.dijoux.fr/,2570.0,http://petit.net/,7155.0,,,http://marion.com/,True,facebook,True,,
Artisan Certainement,Robert Giraud,ilegendre@example.com,0676110155,Artisan,France,Nouvelle-Aquitaine,86,Montmorillon,rue Aurélie Thierry,246.0,https://www.brun.fr/,472.0,,,https://lenoir.com/,27739.0,https://marty.fr/,6099.0,,,https://www.carlier.net/,True,facebook,False,2024-06-12,
Médiathèque Saluer,Zacharie Klein,christelle99@example.net,0795900641,Médiathèque,France,Auvergne-Rhône-Alpes,01,Bourg-en-Bresse,rue de Gomez,,https://masson.fr/,2237.0,http://labbe.net/,2945.0,https://chauvet.net/,3344.0,,,https://richard.fr/,59295.0,,False,email,False,2025-07-09,
Médiathèque Réveiller,Andrée de la Vallée,,0603244677,Médiathèque,France,Bretagne,22,Lannion,"65, rue Benoît Grenier",,https://www.tanguy.com/,3053.0,https://michaud.com/,13599.0,https://www.delahaye.fr/,24709.0,,,http://diallo.com/,15813.0,,False,facebook,False,,
Ludothèque Interroger,Frédéric Blanchard,christiane52@example.com,0604828592,Ludothèque,France,Provence-Alpes-Côte d'Azur,04,Manosque,rue Lemaître,,https://leclercq.fr/,6245.0,https://www.perrier.com/,5451.0,https://www.gosselin.com/,6228.0,,,https://andre.org/,12261.0,https://www.lemaire.fr/,True,telephone,False,,
Artisan Nourrir,,zmasse@example.org,0643604978,Artisan,France,Corse,2A,Ajaccio,"24, rue de Gérard",209.0,http://www.leroux.net/,5714.0,,,,,,,http://www.mendes.net/,22391.0,,True,instagram,False,2024-11-28,
Artisan Changement,,paulle-roux@example.org,0764376382,Artisan,France,Pays de la Loire,53,Mayenne,"22, rue Chartier",74.0,,,http://fernandes.org/,12344.0,https://www.moulin.com/,10432.0,http://www.besson.fr/,25496.0,https://leleu.org/,56720.0,,True,email,False,2024-09-26,
Bar à jeux Main,,adriennelemaitre@example.net,,Bar à jeux,France,Pays de la Loire,49,Saumur,"16, rue Bazin",,http://bouvier.org/,7337.0,,,https://labbe.net/,24779.0,https://www.robin.com/,13439.0,,,http://www.moulin.fr/,True,facebook,True,2026-01-27,Divers odeur vaste.
Médiathèque Maître,,anne35@example.net,0637889351,Médiathèque,France,Grand Est,08,Sedan,"2, avenue de Grenier",131.0,http://royer.fr/,946.0,,,http://www.hoareau.fr/,20861.0,http://navarro.fr/,49740.0,http://gomez.fr/,37258.0,,False,,False,,Forcer séparer épais ça prévoir terme état pleurer.
Médiathèque Quartier,Léon-Honoré Fouquet,jgilles@example.com,0735917023,Médiathèque,France,Centre-Val de Loire,18,Vierzon,"507, rue Grégoire Tessier",304.0,,,,,,,http://jacques.com/,46878.0,,,http://www.bonneau.org/,True,,False,,Grandir soleil avoir semblable décrire mari.
MJC Sauter,André-Nicolas Delaunay,ccohen@example.com,0602217574,MJC,France,Hauts-de-France,62,Calais,,,https://bazin.com/,679.0,,,http://leblanc.com/,3911.0,,,http://gaudin.com/,58895.0,http://www.lacroix.com/,True,telephone,True,2025-02-06,
Médiathèque Éteindre,Noël Hoareau,couloncorinne@example.org,0675932555,Médiathèque,France,Grand Est,57,Forbach,"53, chemin de Pages",,http://www.marchal.org/,8035.0,http://www.gillet.fr/,9105.0,https://www.coste.fr/,2683.0,,,,,http://www.wagner.com/,False,,False,2024-09-11,Dominer véritable rassurer résistance printemps servir rejoindre dégager.
CSCS Tempête,,juliebrunel@example.net,0678737501,CSCS,France,Occitanie,65,Bagnères-de-Bigorre,"586, boulevard Raymond Cohen",,https://henry.com/,8892.0,,,http://remy.com/,1974.0,http://tessier.com/,25971.0,,,https://www.blanc.org/,False,instagram,True,,
Médiathèque Emporter,,lucyguerin@example.org,0665084197,Médiathèque,France,Bourgogne-Franche-Comté,58,Cosne-Cours-sur-Loire,"30, avenue Rolland",,https://www.bourgeois.com/,3327.0,,,https://www.picard.com/,5463.0,https://www.masson.org/,25513.0,,,http://www.blondel.fr/,False,telephone,True,,
Ludothèque Accrocher,Pauline Le Da Costa,daniel38@example.net,0676261036,Ludothèque,France,Occitanie,12,Millau,"31, avenue Legrand",,https://fouquet.fr/,8577.0,http://www.langlois.com/,4029.0,,,http://www.fournier.fr/,31255.0,,,http://www.legrand.org/,False,telephone,False,2025-11-08,
Ludothèque Entendre,,jacquesmartel@example.org,0730866839,Ludothèque,France,Pays de la Loire,53,Mayenne,"71, rue de Sanchez",162.0,,,http://www.marechal.com/,3712.0,http://marechal.com/,29578.0,http://bertrand.org/,39036.0,,,https://leveque.org/,False,,True,2025-12-28,
Asso JDR Annoncer,Charles-Benoît Colin,hpicard@example.org,,Asso JDR,France,Occitanie,31,Muret,"33, rue Josette Martinez",,http://www.bourgeois.com/,9009.0,,,http://www.delannoy.com/,23172.0,https://www.vallee.com/,2330.0,http://fouquet.com/,34296.0,https://www.leconte.com/,False,,True,2024-08-26,
MJC Digne,,ygeorges@example.com,0697103252,MJC,France,Auvergne-Rhône-Alpes,63,Clermont-Ferrand,"5, chemin Lucy Baron",,http://diaz.com/,3707.0,,,http://www.barbe.com/,23891.0,,,http://www.leconte.com/,27157.0,https://turpin.com/,False,telephone,True,,
Éditeur Intention,,guichardsebastien@example.org,0752552638,Éditeur,France,Occitanie,11,Castelnaudary,,36.0,http://www.schmitt.net/,2016.0,,,,,,,,,http://www.guillot.fr/,False,telephone,False,,
Influenceur Achever,Maurice-Augustin Roger,williammaillet@example.com,0713521069,Influenceur,France,Auvergne-Rhône-Alpes,38,Grenoble,,,http://couturier.fr/,2125.0,http://www.alexandre.fr/,12224.0,,,https://www.bertrand.fr/,24187.0,http://lenoir.net/,57853.0,https://renaud.fr/,True,,False,2024-03-26,
MJC Sérieux,Michèle de la Dumas,davidfischer@example.com,0648113121,MJC,France,Occitanie,11,Narbonne,,,https://valette.com/,5443.0,http://www.launay.com/,5361.0,http://lebreton.com/,7957.0,,,https://www.barthelemy.fr/,71267.0,http://chretien.com/,False,email,True,,
Ludothèque Combien,,omichel@example.org,0715088528,Ludothèque,France,Occitanie,31,Saint-Gaudens,,,https://henry.org/,1092.0,http://www.lefebvre.com/,9327.0,,,,,https://moreno.org/,71933.0,http://www.chauvet.fr/,True,email,True,2025-10-25,
Influenceur Avance,,lucie53@example.net,0627871294,Influenceur,France,Normandie,27,Vernon,,,https://www.foucher.org/,1024.0,,,,,,,,,https://lelievre.fr/,False,facebook,True,,
Asso JDR Fuir,,idevaux@example.net,0715730791,Asso JDR,France,Nouvelle-Aquitaine,24,Sarlat-la-Canéda,"59, boulevard Isaac Lenoir",,,,,,http://www.dubois.com/,24573.0,,,,,http://www.francois.fr/,True,instagram,True,,
Influenceur Parce que,,eperret@example.org,0654408963,Influenceur,France,Occitanie,12,Millau,,,,,https://www.bouchet.com/,14517.0,,,,,http://www.thibault.fr/,36280.0,https://colas.com/,True,,True,,
Boutique spécialisée Noir,,sjulien@example.org,0795516630,Boutique spécialisée,France,Bretagne,35,Saint-Malo,"83, rue de Lecoq",,,,http://fontaine.net/,10235.0,,,http://clement.net/,48680.0,https://www.mendes.fr/,49280.0,https://www.georges.com/,False,,False,2025-01-12,
Artisan Fauteuil,Tristan Joubert,etiennemonnier@example.org,0619225170,Artisan,France,Normandie,76,Le Havre,"936, avenue Roy",,https://dufour.fr/,9999.0,,,https://www.techer.com/,11950.0,,,http://moreau.fr/,76857.0,http://www.guillet.fr/,False,,True,2024-03-05,
CSCS Prix,Véronique Vidal,tblondel@example.net,,CSCS,France,Corse,2A,Ajaccio,rue Frédéric Maurice,,https://maillet.net/,7169.0,,,https://bouvier.fr/,2885.0,https://www.maillet.com/,36307.0,,,,False,telephone,True,2024-12-05,
Artisan Distance,Christine Le Goff,,0721476416,Artisan,France,Île-de-France,77,Meaux,"50, avenue Alice Couturier",119.0,,,https://www.maillot.com/,9458.0,,,,,,,http://www.lagarde.com/,True,facebook,False,,
Asso JDR User,Rémy de Fernandes,sabineleclerc@example.com,0663160300,Asso JDR,France,Bourgogne-Franche-Comté,70,Lure,,,http://www.bouvier.com/,8466.0,https://www.rolland.org/,12222.0,https://www.maillet.fr/,8629.0,https://www.perrot.com/,48990.0,,,http://www.dupre.fr/,True,instagram,True,2025-10-28,
Asso JDR Céder,Guillaume Vaillant,paulgiraud@example.org,0707255706,Asso JDR,France,Provence-Alpes-Côte d'Azur,84,Orange,"54, rue de Pons",,http://www.boucher.com/,7003.0,http://mercier.com/,2836.0,https://imbert.com/,5780.0,,,,,,True,facebook,False,2024-03-03,
CSCS Maladie,,odettebouvet@example.com,0601274921,CSCS,France,Centre-Val de Loire,36,Le Blanc,,28.0,http://cohen.fr/,3182.0,,,http://le.fr/,23450.0,,,http://www.evrard.fr/,42974.0,http://www.blondel.com/,True,facebook,True,2025-01-14,Prison tomber calmer billet.
CSCS Importance,Lorraine-Denise Bernard,faivretheodore@example.org,0670094741,CSCS,France,Hauts-de-France,02,Saint-Quentin,"4, rue Ollivier",,https://techer.net/,8894.0,,,http://www.roger.org/,775.0,http://www.benard.com/,33224.0,https://www.ramos.com/,12626.0,,False,instagram,False,2025-06-25,
Asso JDR Travail,Timothée-Eugène Jacob,aloiseau@example.net,0657948011,Asso JDR,France,Hauts-de-France,62,Arras,"7, rue Guilbert",160.0,https://www.imbert.fr/,7041.0,,,,,,,,,http://www.blin.com/,False,,False,2024-12-18,Monde inviter détruire importer auprès défaut quoi.
Influenceur Demain,Richard Leconte-Michaud,faivretheodore@example.org,0737028298,Influenceur,France,Grand Est,54,Toul,,351.0,,,,,https://lopes.com/,2958.0,,,,,http://www.lopes.com/,True,,False,,Poitrine anglais malade distinguer public.
Boutique spécialisée Essuyer,Bernard Couturier-Rey,wchretien@example.net,0735672221,Boutique spécialisée,France,Bourgogne-Franche-Comté,90,Danjoutin,"7, chemin Thibaut Mace",,,,,,,,,,,,,False,,False,2025-10-12,
Bar à jeux Nourrir,Arthur du Bodin,michelecohen@example.com,0727356280,Bar à jeux,France,Normandie,61,Argentan,"385, boulevard Marchand",185.0,https://www.albert.fr/,9878.0,http://www.berthelot.net/,7132.0,https://www.chauvin.fr/,15349.0,,,,,http://maillot.com/,False,facebook,False,,
Éditeur Entrer,,spayet@example.net,0718129751,Éditeur,France,Occitanie,82,Montauban,,222.0,,,https://delannoy.com/,14252.0,https://hardy.fr/,13145.0,,,,,https://bruneau.com/,False,,True,2024-03-13,
MJC Absence,,juliette54@example.org,0680962568,MJC,France,Auvergne-Rhône-Alpes,26,Valence,,205.0,https://www.hernandez.com/,2559.0,,,,,,,http://www.berger.fr/,38809.0,https://www.pruvost.net/,False,telephone,True,2024-07-22,
Bar à jeux Haine,,jdumont@example.com,0618599567,Bar à jeux,France,Île-de-France,92,Levallois-Perret,"67, boulevard Perrin",470.0,http://pons.fr/,4942.0,http://www.gerard.fr/,14525.0,http://hamon.org/,4509.0,,,,,http://www.texier.com/,True,email,False,,
Éditeur Existence,,qbrunel@example.com,0794323441,Éditeur,France,Auvergne-Rhône-Alpes,42,Roanne,"12, rue Isabelle Hebert",75.0,https://roux.fr/,7697.0,http://boucher.com/,12131.0,,,https://denis.fr/,48487.0,,,http://peltier.com/,False,instagram,False,,
CSCS Présenter,Agathe Roche de Gomes,laurentjacques@example.com,0774528672,CSCS,France,Provence-Alpes-Côte d'Azur,04,Manosque,rue Antoinette Sanchez,,http://carpentier.fr/,6576.0,,,https://www.nguyen.com/,26926.0,,,,,https://www.didier.com/,False,telephone,False,,Détacher théâtre ainsi sûr prochain donner sien.
Éditeur Militaire,,xmichaud@example.com,0767453804,Éditeur,France,Bretagne,56,Lorient,"71, rue Manon Sauvage",,,,,,https://www.tessier.com/,9303.0,,,,,http://www.morel.fr/,True,,True,,
MJC Oui,Denis Torres,jacques76@example.net,0766154717,MJC,France,Normandie,50,Cherbourg-en-Cotentin,"2, boulevard de Clerc",,http://gaillard.fr/,1426.0,,,http://ferrand.com/,19093.0,,,,,https://lefebvre.com/,True,,False,,
Boutique spécialisée Revoir,Catherine Léger,etiennehumbert@example.org,0749223796,Boutique spécialisée,France,Normandie,14,Lisieux,"83, rue Isaac Philippe",,http://www.chartier.fr/,4681.0,,,http://www.vasseur.fr/,27220.0,http://www.bruneau.fr/,409.0,,,,False,,False,,
MJC As,Thibaut Fernandes Le Dufour,moniqueimbert@example.net,0779252972,MJC,France,Centre-Val de Loire,37,Chinon,"53, rue Launay",,https://richard.com/,8108.0,,,https://www.carlier.fr/,20807.0,http://chretien.fr/,44227.0,,,https://www.sanchez.net/,True,,False,2025-09-24,
Ludothèque Prétendre,André-Gabriel Chevallier,eugene81@example.net,0607650971,Ludothèque,France,Centre-Val de Loire,37,Tours,,188.0,http://www.roche.com/,2086.0,https://lelievre.com/,7637.0,http://roussel.com/,23122.0,,,,,http://www.monnier.com/,False,telephone,False,2025-01-10,
Bar à jeux Ancien,Élise Laine,qmaillet@example.com,,Bar à jeux,France,Auvergne-Rhône-Alpes,07,Privas,avenue de Noël,,https://www.marchal.com/,6054.0,http://dos.fr/,14273.0,https://www.collet.com/,22643.0,http://www.delattre.org/,345.0,http://www.nguyen.fr/,76836.0,https://diaz.fr/,False,,False,2025-04-23,
Boutique spécialisée Armée,Virginie Daniel-Pasquier,jeromedias@example.com,0713719573,Boutique spécialisée,France,Centre-Val de Loire,28,Chartres,chemin Véronique Collet,,https://hamon.com/,8692.0,,,,,http://www.le.fr/,45505.0,,,http://www.leclerc.fr/,False,facebook,False,,Étendue fumer ici.
Éditeur Prononcer,,diane97@example.net,0766455961,Éditeur,France,Normandie,76,Le Havre,"64, chemin Margot Besson",,http://carre.net/,1110.0,,,https://vallee.com/,7347.0,,,,,http://brun.fr/,False,,False,,
Boutique spécialisée Mensonge,,claudinediaz@example.com,0689629248,Boutique spécialisée,France,Île-de-France,93,Aubervilliers,"19, avenue Louise Royer",277.0,http://www.pires.fr/,1147.0,,,http://www.adam.com/,3993.0,https://www.pasquier.net/,25070.0,,,https://guichard.fr/,True,,False,2024-11-09,
Médiathèque Hauteur,,bertrand54@example.net,0704383509,Médiathèque,France,Auvergne-Rhône-Alpes,73,Aix-les-Bains,"30, avenue Loiseau",184.0,,,,,,,https://www.lefebvre.com/,13616.0,,,https://www.julien.com/,True,email,False,,À doucement nous mon vêtir.
Bar à jeux Boire,Célina Marty,ucollet@example.net,0735672221,Bar à jeux,France,Nouvelle-Aquitaine,19,Tulle,,,http://rousset.fr/,5107.0,,,http://www.benoit.fr/,21157.0,http://www.marion.net/,18057.0,,,https://www.ramos.fr/,True,,False,2025-02-05,Adresser vaincre ruine sentir société déjà naître.
Asso JDR Droite,Brigitte Humbert,leblancalex@example.com,0775151074,Asso JDR,France,Île-de-France,78,Versailles,"850, rue Ramos",,https://lamy.com/,8455.0,,,,,,,,,https://lebreton.com/,True,telephone,False,,
Asso JDR Occuper,,jean90@example.net,0736261605,Asso JDR,France,Occitanie,11,Castelnaudary,"98, rue Frédérique Lucas",156.0,,,,,https://www.rocher.com/,3694.0,,,https://traore.fr/,49406.0,https://maillet.com/,False,,True,,
Boutique spécialisée Traverser,Frédérique Roger,elisabethgauthier@example.com,0739207547,Boutique spécialisée,France,Occitanie,31,Saint-Gaudens,rue Madeleine Pelletier,386.0,http://www.petitjean.net/,3749.0,,,,,https://www.lemaire.com/,39398.0,http://www.merle.com/,74544.0,http://www.masson.fr/,True,,True,,Suite douleur rideau figurer.
Bar à jeux Fixer,,lorraine49@example.org,,Bar à jeux,France,Normandie,27,Vernon,"811, chemin Lévy",,https://roux.com/,2500.0,https://evrard.com/,3822.0,,,,,http://pages.fr/,37918.0,https://lenoir.org/,True,,False,2024-03-15,
Influenceur Inconnu,,brunmarthe@example.net,0682215278,Influenceur,France,Normandie,14,Caen,,173.0,http://www.guyon.com/,5296.0,http://www.dufour.com/,9046.0,,,https://bonnin.com/,6113.0,https://prevost.net/,7572.0,http://morel.fr/,True,,False,,
Artisan Certes,Laurent Besnard,zoejacques@example.com,0645019210,Artisan,France,Normandie,27,Louviers,chemin de Leclerc,78.0,https://www.moreno.fr/,7901.0,,,https://lemaire.com/,14386.0,,,http://www.blondel.fr/,68487.0,http://www.jacquot.fr/,False,,False,,Témoin étranger seigneur entier bas tracer.
Éditeur Bon,,emorvan@example.com,0622116309,Éditeur,France,Bourgogne-Franche-Comté,90,Danjoutin,,218.0,,,,,,,http://allard.com/,8437.0,https://faure.fr/,12221.0,https://www.hubert.com/,True,instagram,True,,
Boutique spécialisée Combien,,thomas26@example.org,0729073052,Boutique spécialisée,France,Occitanie,66,Céret,"82, rue de Carre",,http://lamy.com/,9459.0,,,,,http://louis.fr/,22433.0,https://www.marechal.com/,7065.0,http://www.barthelemy.org/,False,email,True,,
Bar à jeux Déposer,Bernard de la Robin,zacharieklein@example.com,0620907488,Bar à jeux,France,Occitanie,12,Millau,"61, rue de Fernandez",,,,,,https://www.besson.org/,12409.0,http://marchal.fr/,37560.0,https://dumas.fr/,74795.0,https://www.marechal.fr/,True,,True,2024-12-07,
CSCS Abri,Gabriel Thomas,rioualain@example.org,0794444581,CSCS,France,Occitanie,65,Tarbes,"13, avenue de Michaud",,https://becker.net/,9690.0,,,http://lecoq.com/,17997.0,,,https://www.coste.net/,29186.0,https://boucher.com/,True,telephone,False,2024-08-07,
CSCS Quel,Aimée de Courtois,menardsusanne@example.org,0632138497,CSCS,France,Nouvelle-Aquitaine,87,Saint-Junien,,435.0,https://rocher.fr/,9733.0,https://normand.fr/,9668.0,http://www.coste.net/,6000.0,http://www.loiseau.fr/,39058.0,http://www.herve.com/,65557.0,https://www.pottier.org/,True,,True,2024-09-21,Nous pendre aller sauvage.
Artisan Mettre,Valérie Meunier-Weiss,dmaillot@example.org,0778214299,Artisan,France,Pays de la Loire,72,Sablé-sur-Sarthe,"1, chemin de Grenier",,http://www.lopez.fr/,3318.0,http://www.vaillant.org/,4226.0,,,https://lebreton.com/,34416.0,,,http://www.vasseur.fr/,True,instagram,False,,
