nom_structure,nom_contact,email,telephone,type_prospect,pays,region,departement,ville,adresse,nb_aderents,facebook,facebook_followers,x,x_followers,instagram,instagram_followers,youtube,youtube_followers,tictok,tictok_followers,sit_web,accepte_contact,methode_contact,contacte,date_dernier_contact,commentaires
Bar à jeux Rendre,Hortense Le Grégoire,,0783816963,Bar à jeux,France,Bourgogne-Franche-Comté,25,Montbéliard,,292.0,,,,,https://www.pelletier.fr/,7494.0,,,http://guillet.com/,65458.0,,True,,False,2025-05-15,
Boutique spécialisée Expression,,gprevost@example.org,0792013993,Boutique spécialisée,France,Grand Est,68,Mulhouse,"68, rue Rossi",,http://vidal.org/,3483.0,,,http://www.rodrigues.com/,6985.0,,,http://devaux.fr/,40333.0,http://roux.fr/,True,email,True,,
Asso JDR Refuser,,michele50@example.com,0714243183,Asso JDR,France,Bourgogne-Franche-Comté,90,Valdoie,"172, rue André Godard",,http://joly.com/,4947.0,https://www.legendre.com/,12202.0,,,http://bouvier.net/,37493.0,,,https://www.toussaint.org/,False,,False,2024-07-25,
Médiathèque Douleur,Matthieu Seguin,frederiquelaurent@example.com,0624377147,Médiathèque,France,Centre-Val de Loire,36,Le Blanc,"683, boulevard de Riou",233.0,https://www.marchal.fr/,8298.0,,,http://dijoux.fr/,14701.0,,,https://leduc.org/,76635.0,http://www.pons.fr/,True,email,True,2025-05-10,
Médiathèque Surprendre,Eugène Duhamel-Bertrand,frederiquelaurent@example.com,0667107254,Médiathèque,France,Centre-Val de Loire,45,Montargis,avenue Rodriguez,,http://www.blanchard.fr/,8597.0,,,http://faure.com/,14618.0,,,,,https://www.marchal.fr/,False,,False,2024-09-05,
Influenceur Source,Isabelle Marie,wmenard@example.net,0648181909,Influenceur,France,Bourgogne-Franche-Comté,58,Nevers,"963, chemin de Dijoux",,https://leblanc.com/,9727.0,https://laurent.fr/,14928.0,,,,,,,https://www.charles.com/,True,,False,2025-04-27,
Médiathèque Neuf,,remy10@example.com,0682706716,Médiathèque,France,Normandie,14,Lisieux,"71, rue Laine",,https://www.dupont.net/,2848.0,http://www.le.com/,13946.0,,,,,http://www.leclerc.fr/,73839.0,https://joubert.fr/,True,,False,,
MJC Départ,Paul Le Maurice,ode-sousa@example.net,,MJC,France,Occitanie,48,Mende,,,http://mallet.fr/,2052.0,http://www.gerard.fr/,8697.0,http://maury.fr/,14300.0,https://girard.org/,3978.0,,,,False,instagram,True,2025-05-29,Avoir élément cruel expression année police égal.
Médiathèque De,Matthieu Noël,aimeebonneau@example.net,0610748066,Médiathèque,France,Provence-Alpes-Côte d'Azur,04,Digne-les-Bains,"758, boulevard Cordier",,https://www.guichard.org/,2510.0,,,https://www.dupuis.fr/,14095.0,,,https://www.loiseau.com/,51068.0,http://www.marin.fr/,False,facebook,False,2025-08-25,Je meilleur science enfoncer.
Éditeur Avouer,Céline Maurice de Hamon,getienne@example.org,0787773833,Éditeur,France,Grand Est,55,Commercy,"1, rue de Vasseur",143.0,https://www.torres.fr/,7800.0,http://coulon.fr/,2793.0,https://bertrand.com/,4526.0,https://hamel.com/,46744.0,http://www.albert.com/,64707.0,,False,facebook,False,2025-12-27,Lire quartier particulier toucher angoisse éclater.
MJC Noir,Alix Godard de Rivière,audreydaniel@example.com,0726038016,MJC,France,Normandie,50,Cherbourg-en-Cotentin,"95, chemin de Nguyen",,http://jacquet.fr/,4296.0,,,http://jacob.com/,29884.0,,,,,,True,,False,2024-06-18,Lutte rouler pourquoi rendre musique battre chant.
Influenceur Dent,Théophile-Raymond Rivière,emilie85@example.net,0603490707,Influenceur,France,Grand Est,57,Thionville,"66, rue Patricia Roy",68.0,http://renault.fr/,7473.0,,,https://www.pasquier.com/,14343.0,,,https://www.costa.com/,61078.0,http://www.lebon.org/,True,telephone,True,,
Asso JDR Compte,Odette-Denise Morin,virginie19@example.net,0776285260,Asso JDR,France,Hauts-de-France,02,Laon,,,http://dubois.com/,2315.0,http://pichon.com/,7337.0,http://de.org/,24714.0,https://www.mallet.com/,11016.0,,,https://www.gilles.com/,False,,True,,
Artisan Complètement,,,0671107274,Artisan,France,Corse,2B,Bastia,"415, boulevard de Ruiz",106.0,http://didier.org/,1964.0,https://www.paris.com/,3615.0,http://vincent.fr/,17010.0,https://www.dos.com/,49574.0,https://morel.org/,3644.0,http://www.carpentier.fr/,False,email,True,2024-03-22,
Bar à jeux Inspirer,Laurent Chauvin,antoine73@example.com,,Bar à jeux,France,Auvergne-Rhône-Alpes,42,Roanne,"326, chemin de Laporte",36.0,,,https://www.moreau.fr/,7682.0,http://www.normand.com/,27521.0,,,http://www.mace.com/,69154.0,http://breton.net/,True,,False,,
Influenceur Hiver,Noël Peltier,josephvaillant@example.com,0666676512,Influenceur,France,Bourgogne-Franche-Comté,89,Auxerre,,184.0,,,https://gerard.net/,14982.0,https://www.marty.fr/,11095.0,http://chartier.fr/,33284.0,,,,True,instagram,False,,
Médiathèque Arracher,,antoine73@example.com,0627475245,Médiathèque,France,Île-de-France,93,Saint-Denis,rue de Peltier,44.0,https://www.baudry.com/,1520.0,,,http://gallet.fr/,23529.0,,,http://www.louis.fr/,13128.0,https://gilles.fr/,False,,False,2025-04-11,Fumer vol assez drame.
Ludothèque Auteur,,tmeyer@example.com,0753970185,Ludothèque,France,Bretagne,35,Fougères,"1, boulevard Lesage",,https://www.raynaud.fr/,2944.0,,,https://maillard.com/,26232.0,http://www.pineau.com/,41926.0,,,http://www.marechal.fr/,False,,True,2024-10-09,
Artisan Serrer,Alexandrie-Mathilde Bertrand,remy10@example.com,0617732702,Artisan,France,Hauts-de-France,59,Roubaix,"51, boulevard Bourdon",59.0,https://www.munoz.net/,551.0,http://albert.com/,9766.0,,,,,https://www.baudry.org/,66938.0,https://www.roussel.com/,True,,True,,
Influenceur Condamner,Marguerite Schneider,lacombeadelaide@example.org,0729498137,Influenceur,France,Pays de la Loire,72,Sablé-sur-Sarthe,"78, rue Gomez",,,,https://www.rolland.fr/,6708.0,,,https://le.fr/,8725.0,,,http://www.alexandre.net/,True,email,True,2025-03-01,Bon attaquer paupière.
Médiathèque Trop,Marc Ledoux,marceldias@example.com,0617732702,Médiathèque,France,Nouvelle-Aquitaine,17,St Jean d'Angely,,,http://texier.fr/,4782.0,,,https://www.grondin.fr/,15119.0,,,http://hoareau.com/,69883.0,https://leveque.net/,True,instagram,False,,
MJC Donc,,gilbert99@example.net,0668972991,MJC,France,Grand Est,52,Saint-Dizier,,,http://bonnet.fr/,1599.0,,,http://bonnet.fr/,17487.0,http://dumas.com/,14719.0,,,https://bailly.org/,False,,False,2025-09-28,
Boutique spécialisée Nourrir,Christophe Jean de la Marty,zachariebourgeois@example.org,,Boutique spécialisée,France,Centre-Val de Loire,41,Romorantin-Lanthenay,"888, chemin Frédérique Lelièvre",139.0,,,https://www.maillard.com/,14703.0,http://robert.net/,4807.0,,,https://www.chauvin.org/,71374.0,http://www.levy.com/,True,instagram,False,,
Asso JDR Monter,Patrick Hebert,claire93@example.net,0724319057,Asso JDR,France,Pays de la Loire,53,Laval,"61, rue Perret",,https://normand.org/,4028.0,,,https://www.langlois.com/,13980.0,http://www.seguin.fr/,41646.0,https://www.lecoq.com/,71372.0,http://ramos.fr/,True,instagram,True,2024-02-09,
MJC Livre,,levyceline@example.net,0735291256,MJC,France,Île-de-France,91,Massy,"95, rue de Grondin",189.0,http://coste.com/,362.0,http://www.hamon.com/,10026.0,http://www.diallo.com/,16754.0,,,,,http://www.gaillard.fr/,False,,True,2024-08-25,
Artisan Abandonner,Maurice Lesage de Mary,marchalmatthieu@example.org,0772593571,Artisan,France,Occitanie,30,Nîmes,"18, boulevard de Leleu",98.0,,,,,https://www.perret.org/,12437.0,http://guillot.fr/,49674.0,https://bousquet.org/,67585.0,,True,email,True,2024-03-27,
Bar à jeux Marché,,francoise34@example.net,0700889945,Bar à jeux,France,Bourgogne-Franche-Comté,89,Sens,"43, rue de Lenoir",,,,https://louis.com/,5384.0,https://legrand.fr/,21871.0,,,,,http://www.schmitt.com/,False,,False,2025-05-10,
Bar à jeux Ensemble,,luc30@example.org,0735677332,Bar à jeux,France,Provence-Alpes-Côte d'Azur,04,Sisteron,,,https://aubert.fr/,9577.0,,,http://boulanger.com/,7898.0,,,,,https://www.gilles.org/,True,,True,2025-08-22,
Médiathèque Même,Alain Navarro,ines75@example.net,0635396901,Médiathèque,France,Normandie,27,Louviers,"58, chemin de Berger",,http://cordier.org/,7479.0,,,http://www.henry.net/,23211.0,https://julien.net/,14036.0,http://www.duhamel.com/,35691.0,,False,instagram,False,,
CSCS Précis,,,0695950796,CSCS,France,Auvergne-Rhône-Alpes,38,Vienne,"57, chemin de Bailly",,https://maurice.org/,6112.0,http://laine.fr/,2686.0,http://cordier.net/,18333.0,https://chevalier.com/,47821.0,http://www.le.fr/,10451.0,http://www.vidal.com/,False,facebook,True,,
MJC Plaindre,Philippe Gilbert de Martel,ybernier@example.net,0603490707,MJC,France,Occitanie,31,Saint-Gaudens,"508, chemin Martine Vaillant",467.0,http://www.gomez.com/,7246.0,http://www.cousin.com/,2469.0,http://verdier.fr/,10882.0,http://wagner.com/,45972.0,http://fleury.fr/,78456.0,https://delmas.net/,True,,True,2025-04-06,
Médiathèque Parfois,Julie de la Couturier,william40@example.net,0738193769,Médiathèque,France,Occitanie,65,Bagnères-de-Bigorre,"15, chemin Hortense Paris",,https://www.weiss.net/,6861.0,http://lemaire.org/,3343.0,http://aubry.fr/,9960.0,https://www.boutin.fr/,49208.0,http://www.hoarau.com/,67544.0,https://da.com/,True,,True,,
Artisan Saint,Alphonse Duhamel Le Georges,ogaillard@example.org,0756647293,Artisan,France,Centre-Val de Loire,18,Saint-Amand-Montrond,,,http://www.marion.com/,5325.0,,,http://payet.org/,12719.0,,,http://www.besson.fr/,15093.0,http://payet.com/,True,telephone,False,2024-08-25,
Ludothèque Demeurer,,ygregoire@example.net,0654732677,Ludothèque,France,Hauts-de-France,02,Saint-Quentin,"74, rue de Lenoir",,http://www.boyer.org/,4543.0,,,http://www.weiss.fr/,18247.0,,,,,http://www.dumont.com/,False,instagram,True,,
Bar à jeux Nombre,Margaux Ribeiro,bazinlucy@example.com,0755813558,Bar à jeux,France,Hauts-de-France,80,Péronne,"948, avenue Théophile Paul",,https://gosselin.fr/,7386.0,https://www.becker.com/,14289.0,https://www.pichon.com/,13596.0,https://chauvin.net/,48227.0,,,https://www.chevalier.org/,True,instagram,True,2024-07-10,
Ludothèque Toi,,jdufour@example.com,0658244559,Ludothèque,France,Île-de-France,78,Versailles,,,https://dos.com/,6394.0,,,https://marie.fr/,29461.0,http://www.renaud.fr/,45435.0,,,,False,instagram,True,,
MJC Neuf,,gautiercelina@example.net,0666441960,MJC,France,Bourgogne-Franche-Comté,90,Belfort,,,https://marchand.org/,4586.0,,,http://www.becker.com/,16476.0,,,,,https://cohen.fr/,True,instagram,True,,Vivant long ci beauté.
Médiathèque Agir,Alice Klein,nbaron@example.org,0626189897,Médiathèque,France,Pays de la Loire,72,Sablé-sur-Sarthe,,141.0,,,http://wagner.com/,13405.0,,,https://muller.com/,5379.0,http://valentin.org/,21204.0,http://richard.fr/,True,,True,,
Médiathèque Apercevoir,,rlenoir@example.com,0669956299,Médiathèque,France,Île-de-France,95,Sarcelles,"6, avenue de Didier",278.0,,,,,https://www.toussaint.com/,16635.0,,,,,https://www.jean.com/,True,,True,2025-03-21,Autant doux effort situation.
CSCS Point,,thierrybonnin@example.net,0764574748,CSCS,France,Nouvelle-Aquitaine,16,Confolens,"49, chemin David",,http://renault.org/,6913.0,https://www.navarro.fr/,9471.0,http://barre.fr/,12192.0,,,,,http://courtois.com/,True,,True,,
Influenceur Beaux,Guy Rémy du Teixeira,nlamy@example.com,0761521552,Influenceur,France,Centre-Val de Loire,41,Blois,"9, rue Menard",,https://ribeiro.fr/,6169.0,http://gay.org/,8837.0,http://delahaye.com/,27951.0,,,,,,True,,True,,
Boutique spécialisée Demeurer,,zoesanchez@example.com,0683869205,Boutique spécialisée,France,Grand Est,10,Bar-sur-Aube,"23, rue Chauveau",,https://ramos.com/,9835.0,http://www.denis.fr/,5353.0,https://www.riviere.fr/,7065.0,https://boulay.net/,1089.0,http://payet.net/,34926.0,http://renaud.fr/,False,facebook,True,2025-08-28,
Bar à jeux As,Denis Maillot,alphonse79@example.com,0691542078,Bar à jeux,France,Nouvelle-Aquitaine,23,Aubusson,"93, chemin Daniel Picard",,http://www.marchand.com/,6061.0,http://www.guichard.org/,12133.0,https://www.masse.fr/,22984.0,https://www.laurent.org/,3301.0,,,,True,telephone,True,,
Asso JDR Gris,,hoareaulucie@example.net,0776742041,Asso JDR,France,Île-de-France,94,Ivry-sur-Seine,"9, chemin Mace",,https://benard.com/,4960.0,,,http://www.pages.fr/,29405.0,,,https://www.aubert.com/,56087.0,https://www.gaillard.fr/,False,instagram,True,2025-03-26,
CSCS Chant,,tessieragathe@example.org,0793176237,CSCS,France,Centre-Val de Loire,36,Issoudun,"5, chemin Robin",,https://www.renaud.org/,7022.0,http://www.mahe.net/,652.0,https://charpentier.fr/,10386.0,https://georges.fr/,19843.0,,,http://collin.org/,True,telephone,True,,
Éditeur Effacer,Zacharie Barthelemy,agatheauger@example.org,0627270087,Éditeur,France,Auvergne-Rhône-Alpes,38,Vienne,"16, avenue Alix Langlois",,,,http://www.duval.com/,9966.0,,,https://www.arnaud.org/,45137.0,,,https://mathieu.fr/,True,email,False,2024-10-22,Rouler personnage refuser confier presser.
Artisan Cruel,,,0742101621,Artisan,France,Nouvelle-Aquitaine,19,Ussel,"55, rue de Leduc",,,,https://www.vasseur.com/,397.0,https://www.benard.fr/,23763.0,,,,,https://www.ollivier.com/,False,telephone,False,2024-06-16,
MJC Depuis,Jules Richard,zhardy@example.net,,MJC,France,Bourgogne-Franche-Comté,58,Cosne-Cours-sur-Loire,"48, rue Pasquier",,http://www.tessier.fr/,7453.0,,,,,,,,,https://www.giraud.fr/,True,,True,2024-05-13,
Éditeur Voyager,Henri Fernandez,julien70@example.net,0709292766,Éditeur,France,Pays de la Loire,53,Laval,rue Moreau,300.0,,,,,https://www.peron.fr/,4992.0,,,,,http://www.simon.fr/,True,,True,2025-06-25,
MJC Ailleurs,Claire Rey,gcarpentier@example.net,0700572432,MJC,France,Pays de la Loire,53,Château-Gontier,"96, boulevard de Menard",,https://www.valentin.org/,2079.0,,,https://alves.fr/,15369.0,https://www.martel.com/,29596.0,,,https://ruiz.net/,False,facebook,True,,Crise croix masse avoir.
Médiathèque Force,Henri Aubry,valentine37@example.net,0727928173,Médiathèque,France,Occitanie,48,Mende,"4, boulevard Gérard",,https://www.berger.fr/,3436.0,https://www.sauvage.com/,2050.0,http://www.dos.fr/,18570.0,,,,,https://renaud.fr/,False,,False,,
MJC Étroit,,ndos-santos@example.com,0777515256,MJC,France,Grand Est,51,Châlons-en-Champagne,"96, avenue Olivier",,http://www.baudry.com/,6977.0,http://gaudin.fr/,756.0,http://raymond.org/,28358.0,http://www.gautier.fr/,16574.0,,,http://www.millet.com/,False,,True,,
Boutique spécialisée Complet,Yves-Alphonse Marin,reneerolland@example.com,0700542490,Boutique spécialisée,France,Occitanie,34,Béziers,"8, rue Meunier",195.0,http://www.toussaint.org/,6476.0,,,https://www.bodin.org/,12661.0,,,https://morel.com/,77464.0,,False,email,False,2024-11-17,Risquer petit vague saison nature douleur.
Bar à jeux Importance,Alexandrie Martineau,morinlaurence@example.org,0738193769,Bar à jeux,France,Grand Est,55,Verdun,rue Hugues Allain,,http://www.teixeira.org/,7704.0,,,,,,,https://www.lecomte.org/,15882.0,,True,facebook,True,,
Médiathèque Te,Guillaume Poulain,pparent@example.net,0714484985,Médiathèque,France,Auvergne-Rhône-Alpes,01,Bellegarde-sur-Valserine,chemin Langlois,,,,,,,,,,https://blot.com/,1828.0,,True,instagram,True,2025-10-13,
Ludothèque On,,gmaillard@example.net,0606788308,Ludothèque,France,Hauts-de-France,62,Boulogne-sur-Mer,,327.0,,,,,https://www.chauvet.fr/,12726.0,,,,,http://valentin.com/,True,facebook,True,,Grandir pointe papier haut espoir haïr verre.
MJC Désigner,Aimé Barthelemy,zachariebourgeois@example.org,0789683082,MJC,France,Nouvelle-Aquitaine,64,Pau,"18, rue de Martel",,https://gallet.fr/,4020.0,,,https://www.lesage.com/,2975.0,,,,,http://lefort.com/,True,,True,,Lors intérieur nombre seconde attacher doucement.
CSCS Effort,Alphonse-Arthur Louis,guymoulin@example.net,0626555376,CSCS,France,Auvergne-Rhône-Alpes,26,Romans-sur-Isère,"48, rue Emmanuelle Dumas",,https://www.hoareau.com/,1263.0,,,http://couturier.com/,4569.0,,,http://www.jean.com/,49512.0,,True,,False,2025-11-06,
Bar à jeux Avec,Raymond-Étienne Gallet,christelleguillon@example.com,0650420844,Bar à jeux,France,Bourgogne-Franche-Comté,39,Saint-Claude,"643, avenue Bertrand",306.0,,,https://peron.com/,7270.0,,,,,,,http://launay.com/,True,email,True,2025-01-01,
MJC Anglais,Margaux-Capucine Lesage,valentinandree@example.net,0749321410,MJC,France,Provence-Alpes-Côte d'Azur,06,Cannes,"45, rue Maillard",222.0,,,,,http://www.caron.fr/,1753.0,https://blanchet.fr/,3514.0,https://www.guillaume.net/,8431.0,http://coulon.fr/,False,email,True,,
Influenceur Voisin,,mgilbert@example.org,0600603350,Influenceur,France,Grand Est,55,Bar-le-Duc,"694, rue Anastasie Garcia",,http://www.herve.fr/,2199.0,http://david.com/,1375.0,http://legros.fr/,16883.0,https://www.garnier.fr/,36172.0,,,https://lefort.fr/,True,,True,,
Asso JDR Patron,Édith Lefebvre,,0603283965,Asso JDR,France,Occitanie,65,Lourdes,"572, rue Édith Simon",,https://www.dos.com/,581.0,,,https://www.chevallier.fr/,4790.0,,,https://texier.org/,37409.0,,True,facebook,False,2024-11-13,
Bar à jeux Espace,Hélène Hardy,madeleinecarre@example.com,0659737043,Bar à jeux,France,Auvergne-Rhône-Alpes,74,Thonon-les-Bains,"17, rue Arthur Regnier",,,,,,https://www.duhamel.fr/,10030.0,,,,,https://www.dos.fr/,True,instagram,True,2024-11-13,
Éditeur Barbe,Astrid Clément,francoisbertin@example.org,0692947833,Éditeur,France,Pays de la Loire,44,Nantes,"77, rue de Adam",,https://mary.net/,5246.0,http://didier.com/,2255.0,,,,,https://maurice.fr/,24136.0,http://www.giraud.org/,True,,False,2026-01-18,
Asso JDR Devoir,,virginie19@example.net,0756583469,Asso JDR,France,Centre-Val de Loire,41,Vendôme,"6, chemin de Thierry",71.0,http://www.jacob.com/,3889.0,,,,,https://colas.com/,18687.0,,,https://masson.fr/,True,email,False,,
Médiathèque Reculer,,monique50@example.com,0647670654,Médiathèque,France,Nouvelle-Aquitaine,33,Bordeaux,"60, rue Maurice Rolland",412.0,http://lombard.com/,5778.0,,,,,https://www.legros.fr/,14433.0,https://www.martins.fr/,26322.0,,False,email,False,,Projet rêve finir.
CSCS Projet,Isaac Descamps,lejeunethierry@example.org,0701116421,CSCS,France,Pays de la Loire,49,Saumur,,417.0,http://www.rodriguez.org/,4085.0,https://evrard.org/,12403.0,,,,,https://www.voisin.com/,66860.0,https://www.jourdan.org/,True,telephone,True,2025-12-09,
Boutique spécialisée Veiller,Anaïs Besnard,wrossi@example.net,,Boutique spécialisée,France,Grand Est,55,Bar-le-Duc,,,,,https://www.delattre.com/,3066.0,http://www.gay.com/,1065.0,,,,,http://germain.fr/,True,facebook,True,,
CSCS Apprendre,,monique50@example.com,0650647695,CSCS,France,Auvergne-Rhône-Alpes,69,Vénissieux,"492, avenue Pascal",76.0,https://www.pereira.com/,9430.0,https://salmon.com/,8458.0,https://leduc.com/,4485.0,https://dumas.org/,3186.0,,,http://pineau.org/,False,email,False,,Nom fixer pleurer ni dame acheter politique vision.
Médiathèque Discours,Margaud Faure,obrunet@example.com,0605133908,Médiathèque,France,Grand Est,68,Mulhouse,,,,,,,,,http://www.bouchet.org/,30945.0,https://www.paris.com/,37357.0,,False,telephone,True,2025-04-13,
Boutique spécialisée Difficile,Margot Cordier-Legros,pereirabenjamin@example.org,0677219472,Boutique spécialisée,France,Occitanie,66,Prades,,,http://www.bernard.com/,3015.0,,,,,https://renault.com/,1210.0,,,https://www.le.net/,True,,False,2024-03-25,Précieux près vraiment ton muet nécessaire mille entre.
CSCS Tour,Nathalie Sauvage,chantal88@example.org,0694358255,CSCS,France,Île-de-France,92,Nanterre,"296, rue Suzanne Sanchez",,,,http://pruvost.fr/,845.0,http://www.dubois.fr/,7019.0,,,https://www.verdier.org/,76636.0,https://jourdan.com/,False,email,True,,
Boutique spécialisée Aucun,,yalves@example.com,0673212309,Boutique spécialisée,France,Occitanie,82,Moissac,"67, boulevard Louis",442.0,https://www.marechal.net/,9056.0,,,http://bonnet.com/,28643.0,http://joseph.fr/,45861.0,http://www.monnier.com/,63253.0,,True,telephone,False,,
Influenceur Importance,Valentine Leblanc,,0674769187,Influenceur,France,Nouvelle-Aquitaine,79,Bressuire,"772, boulevard Jeannine Albert",435.0,http://boulay.fr/,7280.0,,,,,http://www.leroy.com/,12128.0,,,http://lebon.fr/,True,facebook,True,,Droite tenter lorsque bois libre autour.
MJC Entourer,Alix-Margot Godard,mathieulaetitia@example.org,0747559664,MJC,France,Centre-Val de Loire,36,Issoudun,"900, rue Guillou",,http://www.paris.org/,1244.0,http://www.durand.fr/,14422.0,,,http://vallet.fr/,22707.0,,,http://lamy.com/,False,,True,,Sol musique composer dur.
Médiathèque Famille,Clémence Marin,perezjerome@example.com,0662163530,Médiathèque,France,Bourgogne-Franche-Comté,21,Montbard,"78, avenue de Hoareau",,https://www.duhamel.com/,8080.0,,,http://www.lecoq.fr/,9852.0,https://leger.fr/,9515.0,,,http://dijoux.com/,False,email,False,,
Bar à jeux Demain,Éléonore Legendre,carlierjuliette@example.com,0795037563,Bar à jeux,France,Île-de-France,91,Évry-Courcouronnes,"2, avenue Martinez",,,,,,,,,,,,,False,telephone,False,2024-05-07,
Bar à jeux Témoin,Maryse Diaz,rbegue@example.net,0682622986,Bar à jeux,France,Normandie,61,Alençon,boulevard Dias,282.0,https://michel.fr/,6598.0,,,https://schmitt.org/,29355.0,,,http://caron.net/,17135.0,http://guerin.net/,False,email,True,,
CSCS Contenter,,helene73@example.org,0694482188,CSCS,France,Grand Est,57,Metz,"31, avenue de Lamy",195.0,http://www.moreno.com/,7192.0,http://www.robert.org/,181.0,http://www.duval.org/,9255.0,,,,,https://jacquet.com/,False,,True,,
Bar à jeux Hasard,,aime05@example.org,0700284438,Bar à jeux,France,Provence-Alpes-Côte d'Azur,04,Manosque,"31, avenue Margaret Chauvet",42.0,https://cordier.com/,7379.0,https://www.guillon.com/,5455.0,,,,,https://potier.net/,73826.0,http://delorme.fr/,False,,True,2025-12-17,
Asso JDR Monsieur,,le-gallmarine@example.org,,Asso JDR,France,Bretagne,29,Morlaix,,128.0,http://seguin.fr/,4090.0,,,http://www.durand.fr/,27741.0,https://www.moulin.fr/,11603.0,,,http://begue.org/,False,,True,,Forcer hôtel service occuper mouvement manier arrivée.
Artisan Tuer,,capucine87@example.org,0676137876,Artisan,France,Grand Est,67,Haguenau,,,,,http://garcia.net/,5348.0,http://alves.fr/,3114.0,http://www.roger.fr/,14304.0,,,https://raymond.com/,False,telephone,False,2025-11-26,
Influenceur Donner,Audrey Renault,,0704389323,Influenceur,France,Normandie,14,Caen,"7, rue de Pierre",,http://henry.com/,2206.0,,,http://www.julien.fr/,10204.0,,,https://imbert.com/,43646.0,https://www.alves.fr/,False,,True,2025-02-21,
CSCS Français,Bernard Vallée,danielle43@example.net,,CSCS,France,Occitanie,48,Florac,"94, rue Alexandrie Adam",,https://www.huet.org/,9273.0,http://charrier.fr/,8018.0,http://www.labbe.com/,18318.0,,,,,https://www.descamps.org/,False,,True,,
Asso JDR Course,Célina Raynaud,ojoly@example.org,0794146669,Asso JDR,France,Grand Est,52,Langres,"42, rue de Fernandez",105.0,,,,,https://www.clerc.fr/,15042.0,https://vallee.com/,14389.0,http://lopes.fr/,57420.0,http://www.imbert.fr/,False,instagram,True,2025-11-06,
Bar à jeux Dégager,Colette Le Goff de la Lambert,nroy@example.org,0666043213,Bar à jeux,France,Bourgogne-Franche-Comté,70,Vesoul,,270.0,https://www.weiss.org/,8696.0,,,https://www.hubert.com/,15410.0,,,,,http://www.thibault.com/,False,,False,,
Boutique spécialisée Plan,,marcellelaroche@example.org,,Boutique spécialisée,France,Occitanie,09,Saint-Girons,,,https://www.jacquot.fr/,7292.0,http://www.legros.com/,14167.0,,,https://launay.com/,31617.0,,,https://jourdan.fr/,True,,True,2024-07-26,
