nom_structure,nom_contact,email,telephone,type_prospect,pays,region,departement,ville,adresse,nb_aderents,facebook,facebook_followers,x,x_followers,instagram,instagram_followers,youtube,youtube_followers,tictok,tictok_followers,sit_web,statut,accepte_contact,methode_contact,contacte,date_dernier_contact,commentaires
Éditeur Race,,lefortdenise@example.org,0719660670,Éditeur,France,Île-de-France,95,Cergy,"36, boulevard de Peron",,http://besnard.net/,8941.0,http://gros.com/,8344.0,,,,,,,http://www.richard.fr/,Contacté,False,telephone,True,,Quelque proposer nommer conversation côte branche.
Asso JDR Déjà,Marcel Boulanger,eugeneboyer@example.net,0613606482,Asso JDR,France,Corse,2B,Bastia,,,http://www.laine.fr/,5139.0,https://teixeira.fr/,9952.0,http://www.riviere.com/,24008.0,http://www.brun.fr/,46260.0,,,http://www.guyot.fr/,Prospect,True,telephone,True,,
MJC Naissance,Jules Guilbert,noelemmanuelle@example.com,0627899606,MJC,France,Pays de la Loire,44,Nantes,"65, rue de Petitjean",,,,,,https://hamon.fr/,28631.0,,,,,http://philippe.fr/,Prospect,True,facebook,False,2025-01-24,
Asso JDR Tracer,Marc Marin de Roger,thierrymartine@example.com,0778823916,Asso JDR,France,Occitanie,82,Montauban,"614, rue Louise Alves",,https://www.richard.com/,1172.0,,,https://www.roche.fr/,26371.0,http://www.bertrand.com/,41132.0,,,https://www.prevost.fr/,Intéressé,False,telephone,True,2025-02-10,
Bar à jeux Effacer,Paulette Faivre,fdos-santos@example.org,0633548593,Bar à jeux,France,Pays de la Loire,49,Cholet,,314.0,,,http://www.evrard.org/,10145.0,http://guichard.fr/,11989.0,http://raymond.com/,8396.0,http://denis.org/,69483.0,http://leleu.com/,Contacté,True,telephone,True,,
Boutique spécialisée Demande,Gilles Rossi de Barre,luc29@example.net,0629351444,Boutique spécialisée,France,Nouvelle-Aquitaine,16,Confolens,"6, boulevard de Thierry",120.0,http://www.nicolas.net/,856.0,,,http://www.moreau.net/,21283.0,http://www.munoz.com/,33495.0,,,http://www.andre.net/,Intéressé,True,,True,,
Médiathèque Tantôt,,anoukgarnier@example.net,0705290407,Médiathèque,France,Occitanie,48,Florac,,64.0,,,https://www.merle.net/,5291.0,http://dufour.com/,3692.0,,,,,,Intéressé,True,,False,,Endroit train vers.
Asso JDR Lors,,susannemaury@example.com,0704755521,Asso JDR,France,Île-de-France,92,Levallois-Perret,"341, rue de Weiss",449.0,,,,,http://www.lemaitre.fr/,9170.0,,,,,,Prospect,True,,True,2024-12-18,
Médiathèque Aussi,,gilbertrodrigues@example.net,0608477513,Médiathèque,France,Nouvelle-Aquitaine,40,Dax,"59, boulevard Colas",,http://fouquet.com/,2867.0,http://www.brunet.com/,2886.0,,,,,,,https://bouvier.fr/,Prospect,True,email,False,2025-08-12,
Éditeur Croire,,francoiselebreton@example.net,0787142835,Éditeur,France,Bretagne,56,Lorient,"90, chemin de Dias",158.0,http://delmas.fr/,9323.0,https://www.de.com/,1241.0,http://besson.com/,19887.0,https://www.camus.fr/,28657.0,,,http://turpin.fr/,Contacté,True,,False,,
Bar à jeux Glace,,gabrielle34@example.org,0717559632,Bar à jeux,France,Normandie,61,Flers,"819, rue de Dumont",,,,https://picard.fr/,11834.0,http://lejeune.net/,4874.0,,,http://poulain.com/,23085.0,http://www.leconte.org/,Prospect,False,instagram,False,,
Boutique spécialisée Prononcer,,fleurybernadette@example.net,0760917763,Boutique spécialisée,France,Normandie,27,Louviers,"41, avenue Thérèse Aubert",,http://www.pasquier.com/,1950.0,,,http://www.riviere.fr/,20832.0,http://michaud.com/,30323.0,,,,Intéressé,False,telephone,True,,
Influenceur Autour,Margaux Hebert de Marie,pbriand@example.com,0620005508,Influenceur,France,Centre-Val de Loire,36,Le Blanc,,,http://delorme.com/,1031.0,,,,,,,,,,Contacté,True,email,True,2024-11-01,Type secrétaire pousser réserver lentement cours neuf.
Ludothèque Observer,Thomas Boucher,beguestephane@example.org,0605370601,Ludothèque,France,Bretagne,56,Lorient,"60, rue Martins",,http://www.diallo.fr/,5397.0,,,https://blanc.org/,9606.0,,,,,http://www.roche.com/,Contacté,False,,False,2025-05-24,
Ludothèque Rompre,Amélie de la Costa,remytheophile@example.com,0624508324,Ludothèque,France,Bourgogne-Franche-Comté,39,Dole,"54, rue Josette Peron",,https://fischer.org/,9733.0,http://www.mahe.org/,4835.0,,,http://vidal.com/,42927.0,,,http://vaillant.com/,Intéressé,True,,False,2024-06-14,
Artisan Situation,Édouard Ledoux,faurebenjamin@example.org,0690979577,Artisan,France,Auvergne-Rhône-Alpes,07,Annonay,"306, avenue de Marin",,http://schneider.fr/,552.0,,,https://www.grondin.fr/,19369.0,,,,,https://valette.org/,Prospect,False,facebook,False,2024-12-04,Battre attention mesure profiter.
Bar à jeux Prière,,franck75@example.org,0685350752,Bar à jeux,France,Normandie,27,Évreux,"48, chemin de Richard",,,,,,http://gilles.com/,21058.0,https://www.valette.net/,27202.0,,,http://poulain.org/,Intéressé,False,,False,,
Boutique spécialisée Pourtant,Lucie Chevalier,fdos-santos@example.org,0796643806,Boutique spécialisée,France,Occitanie,09,Saint-Girons,"49, rue Briand",,http://www.courtois.fr/,2507.0,,,,,,,,,http://guillot.com/,Intéressé,True,facebook,True,2024-12-21,
Asso JDR Camarade,,isaac80@example.org,0779738302,Asso JDR,France,Bourgogne-Franche-Comté,25,Montbéliard,rue Jérôme Moulin,,https://guerin.com/,265.0,http://www.lebon.fr/,2583.0,http://joseph.com/,11958.0,,,,,https://www.klein.com/,Contacté,True,,False,,
Asso JDR Franchir,,boyeranouk@example.net,0784807315,Asso JDR,France,Centre-Val de Loire,37,Tours,"918, boulevard de Jacquot",289.0,http://renard.com/,3320.0,https://www.besson.fr/,9602.0,,,http://www.gomes.com/,11261.0,http://www.guillaume.fr/,42175.0,https://www.carre.fr/,Contacté,False,,True,,Gris soirée feuille contraire.
Boutique spécialisée Détacher,Christiane Dupuis,claudinebigot@example.org,0676518406,Boutique spécialisée,France,Île-de-France,78,Saint-Germain-en-Laye,"877, boulevard Rocher",457.0,https://daniel.fr/,9740.0,,,,,,,https://besnard.fr/,27428.0,http://pasquier.fr/,Prospect,True,facebook,False,,
Influenceur Figurer,Valentine-Suzanne Joubert,,0644910381,Influenceur,France,Auvergne-Rhône-Alpes,07,Aubenas,"44, avenue de Torres",,http://jacquot.fr/,7233.0,,,http://bernier.fr/,10012.0,,,,,http://www.marin.fr/,Prospect,True,email,False,,Cri cela tel proposer fruit tour prouver.
Influenceur Voix,,claire36@example.com,0644758588,Influenceur,France,Bretagne,29,Quimper,,241.0,,,,,http://www.gaudin.com/,16450.0,https://www.picard.fr/,17085.0,,,http://pruvost.fr/,Prospect,True,,False,,
Ludothèque Mesure,,pbriand@example.com,0662799516,Ludothèque,France,Auvergne-Rhône-Alpes,38,Vienne,"57, boulevard de Leroy",284.0,http://fernandes.fr/,6091.0,,,https://martin.fr/,9031.0,,,http://www.valette.net/,64986.0,http://www.da.fr/,Prospect,False,email,True,2025-05-29,Imaginer classe attacher juge produire confondre.
Asso JDR Résultat,,oda-silva@example.org,0729464518,Asso JDR,France,Île-de-France,94,Créteil,"30, rue de Guibert",,https://www.carpentier.fr/,9875.0,http://www.gay.com/,9837.0,http://delmas.org/,1383.0,http://www.sanchez.fr/,29023.0,,,https://millet.com/,Intéressé,True,,False,,
Asso JDR État,,capucinelemaitre@example.net,0660096829,Asso JDR,France,Bourgogne-Franche-Comté,70,Lure,rue de Gautier,320.0,https://www.laurent.fr/,6006.0,,,http://leger.com/,18813.0,http://www.chevallier.net/,16999.0,,,http://lecoq.com/,Prospect,False,instagram,True,2024-03-24,Sauvage choix aucun.
Ludothèque De,Maurice Michel,sanchezmaurice@example.net,0643122082,Ludothèque,France,Centre-Val de Loire,18,Saint-Amand-Montrond,"75, rue de Berthelot",,https://hubert.fr/,4410.0,,,https://www.lesage.net/,10676.0,,,http://www.rocher.fr/,57993.0,https://breton.fr/,Contacté,True,instagram,True,2024-12-20,
MJC Rapport,Suzanne Pottier,thierrymartine@example.com,0653615165,MJC,France,Normandie,27,Louviers,"3, chemin Legros",,https://www.pascal.com/,2903.0,http://www.deschamps.fr/,12566.0,http://www.henry.org/,7565.0,,,,,https://payet.org/,Contacté,False,,False,,
CSCS Escalier,Andrée Chauvin,aimeebourgeois@example.org,0769238278,CSCS,France,Île-de-France,94,Ivry-sur-Seine,"707, rue Patricia Maillot",27.0,http://www.delahaye.net/,5203.0,https://www.besson.org/,14853.0,,,,,,,https://meyer.com/,Intéressé,False,facebook,False,2025-10-21,
Ludothèque Allumer,Véronique Bernard,ecollin@example.org,0725604470,Ludothèque,France,Bourgogne-Franche-Comté,58,Cosne-Cours-sur-Loire,,,,,,,https://guerin.org/,5596.0,,,,,https://www.dupont.org/,Contacté,True,email,False,2024-12-11,Trace robe avis on genre histoire portier.
Influenceur Prévenir,Thibaut Potier de De Oliveira,pasquiercamille@example.org,0735490788,Influenceur,France,Nouvelle-Aquitaine,40,Mont-de-Marsan,chemin Élisabeth Lambert,234.0,https://www.leger.com/,9258.0,,,https://www.pineau.com/,4890.0,,,,,https://www.hoarau.com/,Intéressé,False,,False,2025-11-01,
MJC Chasse,Adrien Carpentier,gregoireblin@example.net,0779131452,MJC,France,Auvergne-Rhône-Alpes,42,Roanne,"52, rue de Delorme",,https://adam.fr/,4065.0,,,https://lefort.fr/,17696.0,https://www.faure.com/,33454.0,,,https://www.robin.fr/,Intéressé,True,facebook,True,2025-05-23,Présent un voici.
Médiathèque Réveiller,,brunetguy@example.net,0743629150,Médiathèque,France,Nouvelle-Aquitaine,87,Saint-Junien,"36, avenue Rousset",20.0,,,,,https://dijoux.com/,19822.0,,,,,https://www.hamel.com/,Intéressé,False,telephone,False,,
Asso JDR Conscience,Théophile Godard,robinhelene@example.com,0655541130,Asso JDR,France,Auvergne-Rhône-Alpes,73,Albertville,"43, rue Matthieu Cohen",385.0,https://www.clement.com/,8092.0,https://www.hardy.com/,3095.0,https://valentin.net/,28467.0,,,https://lambert.com/,9488.0,,Contacté,True,facebook,False,,Que défendre environ besoin rencontrer pensée représenter.
Influenceur Passer,Adrienne Langlois,lucymahe@example.org,0738860888,Influenceur,France,Auvergne-Rhône-Alpes,26,Montélimar,"380, rue Guillaume Traore",135.0,https://www.sanchez.fr/,1438.0,,,,,,,https://hamel.fr/,17181.0,http://www.joubert.com/,Prospect,True,email,True,2025-10-17,
Éditeur Front,Clémence Blot,sblanchet@example.org,0630675934,Éditeur,France,Bourgogne-Franche-Comté,58,Nevers,,194.0,https://www.renaud.com/,6035.0,https://gros.fr/,10105.0,https://www.carpentier.fr/,12505.0,https://www.martineau.com/,7201.0,https://www.schneider.fr/,70053.0,https://leger.net/,Contacté,False,,False,2025-07-06,
Médiathèque Quart,,paul53@example.org,0611569805,Médiathèque,France,Provence-Alpes-Côte d'Azur,04,Digne-les-Bains,"93, avenue Marie",,https://www.leclercq.org/,2454.0,http://www.letellier.net/,6183.0,http://carlier.fr/,26132.0,http://daniel.fr/,32996.0,http://www.pelletier.fr/,38844.0,https://www.petit.fr/,Prospect,True,facebook,False,,
MJC Fort,Maryse Lemaire Le Foucher,marcellegomez@example.net,,MJC,France,Nouvelle-Aquitaine,40,Capbreton,,,,,http://lebon.com/,9784.0,http://www.paul.com/,12561.0,http://www.allard.com/,7234.0,,,https://hubert.com/,Intéressé,True,,False,,
CSCS Gens,Lucie Riou,olivierines@example.org,0678168240,CSCS,France,Provence-Alpes-Côte d'Azur,04,Manosque,"53, rue de Ferrand",,https://www.diaz.net/,7675.0,http://www.le.com/,7296.0,http://www.guillaume.net/,19135.0,,,http://www.launay.fr/,79313.0,,Contacté,False,,True,2025-06-26,Remercier causer seconde dangereux eh.
CSCS Contre,,scourtois@example.org,0678168240,CSCS,France,Auvergne-Rhône-Alpes,63,Clermont-Ferrand,"51, rue de Blanchard",,https://gaudin.net/,8972.0,,,https://www.girard.fr/,2682.0,,,https://www.jacques.com/,69092.0,,Contacté,True,facebook,True,,Faim situation demain effet machine étroit.
Influenceur Aimer,,gthierry@example.net,0678259242,Influenceur,France,Auvergne-Rhône-Alpes,03,Moulins,,,http://www.rousset.com/,2123.0,https://bonnet.net/,10923.0,https://www.rolland.com/,7358.0,https://www.guillon.fr/,16696.0,https://www.delannoy.fr/,19671.0,http://www.renault.com/,Contacté,True,,True,2024-12-09,
Boutique spécialisée Justice,,christinerodrigues@example.org,,Boutique spécialisée,France,Corse,2B,Corte,"5, boulevard Dufour",,https://cohen.fr/,8300.0,,,https://www.pereira.fr/,28513.0,http://www.guilbert.org/,25370.0,http://coulon.fr/,20215.0,http://mallet.org/,Intéressé,True,instagram,True,,Étudier ce semblable.
Asso JDR Passage,,corinnelemoine@example.com,0613116875,Asso JDR,France,Île-de-France,75,Paris,"80, rue de Meunier",33.0,https://www.louis.fr/,180.0,https://fabre.fr/,1231.0,https://www.gros.fr/,28154.0,,,https://www.normand.net/,62346.0,https://www.begue.com/,Prospect,True,facebook,True,,
Médiathèque Spectacle,Gabriel Thomas,francoiselebreton@example.net,0798546097,Médiathèque,France,Nouvelle-Aquitaine,24,Périgueux,boulevard de Perrier,,http://martineau.com/,6674.0,http://www.besnard.org/,866.0,,,https://hoarau.fr/,42373.0,http://lucas.net/,2391.0,https://www.godard.net/,Intéressé,True,email,False,,Vague lieu agent point.
CSCS Offrir,Jérôme Parent,odettethomas@example.net,0794277410,CSCS,France,Centre-Val de Loire,28,Chartres,"655, chemin Michaud",,http://www.blin.fr/,9835.0,,,http://schneider.org/,2632.0,,,http://delannoy.com/,46095.0,https://munoz.net/,Intéressé,True,,False,,
Ludothèque Prince,,lorrainelouis@example.net,0761092253,Ludothèque,France,Provence-Alpes-Côte d'Azur,04,Digne-les-Bains,,,http://lambert.fr/,4036.0,http://www.guibert.com/,1708.0,http://dupuy.fr/,29767.0,,,,,http://www.louis.fr/,Intéressé,True,,False,2024-06-11,
Influenceur Regarder,Jacques Potier,julien80@example.org,0611569805,Influenceur,France,Bourgogne-Franche-Comté,71,Chalon-sur-Saône,"79, avenue Besson",419.0,,,,,https://richard.com/,9876.0,https://paul.fr/,7827.0,,,https://www.teixeira.com/,Prospect,True,,False,,
MJC Marier,,ilefevre@example.org,0606368114,MJC,France,Bourgogne-Franche-Comté,21,Beaune,"97, rue Monique Guyot",319.0,https://benard.com/,6152.0,http://lopez.com/,5798.0,,,https://daniel.com/,22572.0,https://www.bouchet.net/,35986.0,,Intéressé,True,email,True,,Quelqu'Un théâtre faux bon nez école.
Éditeur Beau,,etiennerichard@example.com,0727311355,Éditeur,France,Pays de la Loire,49,Saumur,"4, boulevard Boulay",,https://hamon.fr/,7466.0,https://regnier.com/,3619.0,http://gros.fr/,25488.0,,,http://www.roussel.com/,57452.0,http://martel.fr/,Prospect,True,,False,,
Médiathèque Général,,helene68@example.net,0625392772,Médiathèque,France,Hauts-de-France,59,Valenciennes,"59, chemin de De Oliveira",390.0,https://pinto.fr/,1539.0,,,https://www.legrand.fr/,17888.0,,,,,http://nicolas.fr/,Prospect,True,email,True,,Société habitant arrière rire mauvais gloire.
Médiathèque Qui,,moreauantoinette@example.com,0661662549,Médiathèque,France,Nouvelle-Aquitaine,86,Poitiers,,,https://www.dias.fr/,2063.0,,,,,,,,,https://www.roussel.org/,Contacté,True,telephone,False,2024-07-08,
Éditeur Souffrir,,oleclercq@example.com,0668000931,Éditeur,France,Auvergne-Rhône-Alpes,01,Bourg-en-Bresse,"268, chemin Couturier",,https://martin.com/,9081.0,https://www.barbe.fr/,9928.0,,,http://picard.com/,43559.0,https://poulain.fr/,69263.0,http://www.goncalves.net/,Prospect,False,telephone,False,2025-04-12,Tomber enlever figurer problème.
Bar à jeux Métier,Émile Maury,,0742660231,Bar à jeux,France,Hauts-de-France,02,Laon,,295.0,,,https://bruneau.fr/,174.0,http://philippe.fr/,20621.0,,,,,https://goncalves.com/,Prospect,False,,True,,
Ludothèque Intérêt,Julien Faure,mariannemunoz@example.org,0643736055,Ludothèque,France,Provence-Alpes-Côte d'Azur,84,Avignon,,,https://www.gomes.net/,8731.0,http://www.david.net/,1837.0,https://www.huet.com/,12233.0,,,,,https://lefebvre.org/,Contacté,True,instagram,False,,
Bar à jeux Révéler,,marine97@example.com,0613233672,Bar à jeux,France,Normandie,76,Rouen,,322.0,https://gallet.net/,6688.0,http://www.coste.fr/,6455.0,http://normand.net/,6466.0,,,,,https://seguin.fr/,Prospect,False,facebook,True,,
Ludothèque Ombre,Franck Raymond Le Pineau,gmarty@example.org,0667066326,Ludothèque,France,Nouvelle-Aquitaine,19,Brive-la-Gaillarde,boulevard Joly,170.0,,,,,http://laurent.org/,27649.0,,,,,http://www.richard.com/,Prospect,True,,False,,
Ludothèque Je,,henrietterolland@example.com,0611437737,Ludothèque,France,Auvergne-Rhône-Alpes,63,Clermont-Ferrand,boulevard de Gauthier,,http://brunel.com/,1038.0,,,http://julien.com/,16251.0,,,,,,Intéressé,False,,False,2024-11-04,Maintenant valeur principe parent tourner détruire peser.
Éditeur Plusieurs,Yves Cordier,madeleine83@example.net,0718349211,Éditeur,France,Bretagne,29,Quimper,,,,,,,http://www.peltier.com/,23608.0,https://jacquet.org/,40814.0,,,http://etienne.fr/,Prospect,True,telephone,False,,
Boutique spécialisée Possible,,umarty@example.com,0764835196,Boutique spécialisée,France,Bourgogne-Franche-Comté,90,Belfort,,,,,http://www.peltier.fr/,3096.0,,,,,,,https://www.rodriguez.fr/,Intéressé,False,,True,,
Artisan Fumer,,alphonse28@example.org,0799222723,Artisan,France,Auvergne-Rhône-Alpes,73,Aix-les-Bains,"9, rue Georges",,http://www.blanchard.com/,3336.0,,,http://gomez.com/,13064.0,,,https://www.alexandre.com/,32214.0,http://www.roux.net/,Intéressé,False,telephone,True,,
MJC Écouter,Julien Simon,xavier68@example.org,0696569697,MJC,France,Pays de la Loire,72,Le Mans,"44, boulevard de Lucas",320.0,http://www.toussaint.fr/,5159.0,,,,,,,,,,Prospect,False,facebook,False,2025-08-13,Tellement réponse notre six entraîner seulement connaissance.
Éditeur Métier,,tanguyluc@example.net,0645966142,Éditeur,France,Hauts-de-France,02,Saint-Quentin,"462, boulevard Éric Bruneau",,http://www.fischer.fr/,3481.0,,,,,https://moulin.fr/,2180.0,https://barthelemy.fr/,26861.0,https://marchand.net/,Intéressé,True,,True,,Marcher sous pendant égal école qui inutile exiger.
Influenceur Idée,Édouard-Xavier Besnard,ngodard@example.com,0799845953,Influenceur,France,Normandie,27,Louviers,"41, rue Ferreira",,,,,,,,https://mendes.com/,33390.0,http://www.pereira.fr/,8498.0,https://leleu.fr/,Intéressé,False,,False,2024-03-03,
Influenceur Monde,Bernadette de Menard,yjacob@example.org,0621681221,Influenceur,France,Île-de-France,95,Cergy,rue Hamon,30.0,https://www.herve.fr/,2845.0,http://www.mary.fr/,5701.0,http://www.poulain.fr/,28847.0,,,,,http://www.martins.com/,Intéressé,False,email,False,,Question claire ancien tantôt mot prétendre.
CSCS Intérieur,,leonimbert@example.net,0659775705,CSCS,France,Auvergne-Rhône-Alpes,74,Cluses,"10, rue Benoît De Sousa",,,,https://delmas.com/,8256.0,,,,,https://www.le.com/,258.0,http://gilles.net/,Contacté,False,email,True,,Inspirer charger présent.
Bar à jeux Poche,,,0656507095,Bar à jeux,France,Hauts-de-France,62,Boulogne-sur-Mer,"378, rue Édith Blin",,https://lopez.net/,1558.0,http://www.berthelot.net/,450.0,http://www.pires.fr/,6309.0,https://www.guillot.fr/,22692.0,http://caron.net/,76186.0,https://gregoire.org/,Prospect,True,,False,,Toi chiffre inspirer abattre baisser terrible recherche.
Ludothèque Caractère,Simone Fournier,hribeiro@example.com,0618603433,Ludothèque,France,Île-de-France,94,Vitry-sur-Seine,"1, boulevard Merle",264.0,,,,,,,,,,,,Contacté,False,,False,2025-06-10,Horizon autre quarante étude.
MJC Consentir,,agnes56@example.com,0649404731,MJC,France,Nouvelle-Aquitaine,47,Villeneuve-sur-Lot,,,http://salmon.fr/,4189.0,,,http://dupre.org/,6216.0,http://bernier.org/,23959.0,https://dupre.fr/,77616.0,https://www.salmon.com/,Intéressé,True,,False,,
Boutique spécialisée Oiseau,,andremartel@example.net,0775811212,Boutique spécialisée,France,Nouvelle-Aquitaine,79,Bressuire,"93, rue Hernandez",,http://www.briand.fr/,9116.0,http://www.gerard.fr/,5299.0,http://jacob.net/,14976.0,http://www.lelievre.com/,34727.0,,,https://www.da.fr/,Contacté,True,,False,2025-01-20,
Ludothèque Rouler,Gabriel Meunier,llagarde@example.com,0686972529,Ludothèque,France,Bourgogne-Franche-Comté,21,Dijon,boulevard Blanchet,,https://www.grenier.com/,7161.0,https://www.cousin.net/,1319.0,http://www.lemaire.org/,15139.0,https://www.gros.com/,10836.0,http://guilbert.com/,39898.0,http://www.aubert.fr/,Contacté,False,facebook,True,,
CSCS Intérieur,,remytheophile@example.com,0765286924,CSCS,France,Nouvelle-Aquitaine,79,Parthenay,,,https://pierre.com/,4783.0,https://www.rey.net/,12412.0,,,,,,,https://www.da.fr/,Prospect,False,facebook,False,,Vague puis consulter monsieur.
Artisan Mode,Agathe Dupuis-Perrot,paullaurence@example.org,0616194510,Artisan,France,Hauts-de-France,60,Compiègne,"514, avenue Riou",,http://www.potier.com/,981.0,,,https://vidal.com/,26474.0,https://pinto.fr/,21410.0,https://www.lefevre.com/,26076.0,https://roger.org/,Contacté,False,email,True,,
Éditeur Pain,Thierry Lacombe,pasquiercamille@example.org,0609105286,Éditeur,France,Corse,2B,Bastia,,,http://durand.org/,1039.0,http://menard.net/,3776.0,https://www.lebon.fr/,17512.0,https://vaillant.net/,19912.0,,,https://coulon.fr/,Prospect,False,,False,2025-11-23,Clair santé fort monsieur heureux avoir.
Boutique spécialisée Tapis,Eugène Hervé,yvesvallee@example.net,0782192635,Boutique spécialisée,France,Nouvelle-Aquitaine,79,Parthenay,"7, avenue Denise Boutin",,https://grondin.org/,2205.0,,,https://www.riviere.fr/,25327.0,,,http://www.gomez.org/,57643.0,https://ribeiro.fr/,Intéressé,True,telephone,False,2025-07-07,
Asso JDR Miser,Augustin Leroux,josephluce@example.org,0758530188,Asso JDR,France,Grand Est,51,Châlons-en-Champagne,"3, rue Henri Schneider",425.0,https://www.ferrand.fr/,5647.0,http://martin.fr/,11676.0,http://www.guilbert.fr/,11927.0,,,,,http://www.launay.com/,Intéressé,True,email,False,,
Éditeur Note,Martin Gaillard,juliette84@example.com,0639743852,Éditeur,France,Occitanie,48,Langogne,"312, rue de Camus",231.0,https://www.gaudin.net/,9530.0,http://www.jacob.com/,3159.0,https://lejeune.fr/,19642.0,,,,,http://breton.org/,Prospect,True,email,True,2025-11-03,Alors offrir après moyen.
Ludothèque Système,,bonneaumargot@example.com,0720885586,Ludothèque,France,Nouvelle-Aquitaine,86,Châtellerault,boulevard Jeannine Adam,,,,http://joubert.org/,926.0,https://www.teixeira.com/,12800.0,,,https://www.dupuis.net/,48243.0,http://bousquet.com/,Contacté,True,instagram,True,,
Boutique spécialisée Peau,,lucy45@example.org,0730272496,Boutique spécialisée,France,Auvergne-Rhône-Alpes,74,Annecy,chemin de Hamon,,https://www.bernier.com/,3779.0,https://brunel.net/,822.0,http://bourgeois.com/,1317.0,,,,,https://www.marques.com/,Intéressé,True,email,False,,
MJC Faux,,suzanne20@example.org,0754420474,MJC,France,Normandie,61,Argentan,"7, rue de Parent",430.0,https://www.pascal.com/,2104.0,,,http://pottier.org/,14751.0,,,http://www.le.fr/,31412.0,,Intéressé,False,instagram,True,,
MJC Mari,Julie-Simone Maillard,valeriehardy@example.org,0701085173,MJC,France,Île-de-France,75,Paris,"85, avenue Honoré Gomez",,,,,,https://schmitt.com/,20509.0,,,,,https://www.torres.org/,Intéressé,False,,False,2025-05-01,
CSCS Anglais,Madeleine Bruneau,lmaurice@example.org,0758406845,CSCS,France,Grand Est,08,Sedan,"24, rue de Morel",,,,,,http://www.delattre.fr/,10162.0,,,https://www.lopez.org/,4614.0,http://www.maillot.com/,Prospect,False,telephone,False,,
MJC Pauvre,Denis Guichard-Reynaud,michelecourtois@example.org,0768412980,MJC,France,Grand Est,51,Reims,"7, chemin de Coste",,https://www.mallet.com/,7471.0,,,https://www.seguin.com/,29103.0,https://le.fr/,35652.0,,,https://www.faivre.net/,Contacté,False,,True,,
